

| 序号 | 单词 | 词性 | 释义 |
| 442 | optimistic | adj. | 乐观的， 乐观主义的 |
| 443 | clue | n. | 线索， 暗示， 提示 |
| 444 | grief | n. | 悲伤 |
| 445 | synthetic | adj. | 综合的， 合成的； 虚假的 |
| 446 | resistance | n. | 反抗， 抵制； 抵抗力， 抵抗性； 阻力； 电阻 |
| 447 | install | vt. | 安装， 设置； 使就职， 任命 |
| 448 | pledge | n. | 保证，誓言 vt. 保证， 许诺 |
| 449 | unique | adj. | 唯一的， 独一无二的； 极不寻常的， 极好的 |
| 450 | stock | adj. | 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 vt. 储备 |
| 451 | disadvantage | n. | 不利情况，缺点 |
| 452 | compensate | v. | 弥补，补偿 |
| 453 | rescue | v. | 营救，解救，救援 n. 营救，解救，救援 |
| 454 | monitor | n. | 班长；监视器，检测器；显示器 vt. 监听； 检测 |
| 455 | refusal | n. | 拒绝 |
| 456 | exile | n. | 流放，放逐 |
| 457 | encourage | vt. | 鼓励， 怂恿； 促进， 助长， 激发 |
| 458 | concept | n. | 概念， 观念， 设想 |
| 459 | render | vt. | 使得， 致使； 给予， 提供； 翻译 |
| 460 | trait | n. | 性格 |
| 461 | feature | vi. | 起重要作用 n. 特征，特色；面貌；特写，专题节目；故事片 vt. 突出；由…主演 |
| 462 | reframe | v. | 再构造(图画、照片等) |
| 463 | identify | vi. | 一致 vt. 认出，鉴定；把…等同于 |
| 464 | impose | vi. | 利用， 占便宜； 欺骗 vt. 把…强加于；征 |
| 465 | snack | n. | 零食，小吃 |
| 466 | require | vt. | 需要； 要求； 命令 |
| 467 | donation | n. | 捐款， 捐赠物； 捐赠， 赠送 |
| 468 | equal | adj. | 相等的，平等的 |
| 469 | rare | adj. | 稀有的， 冷僻的； 珍奇的； 出类拔萃的； 稀薄的； 煎得嫩的 |
| 470 | specify | vt. | 指定； 详细说明 |
| 471 | constant | adj. | 经常的，不断的，连续发生的；永恒的；忠实的，忠诚的 n. 常数， 恒量 |
| 472 | standardize | v. | 使标准化 |
| 473 | consume | vt. | 消费， 吃完， 喝光； 毁灭； 使着迷， 充满 |
| 474 | status | n. | 地位， 身份； 情形， 状况 |
| 475 | complement | v. | 补充 |
| 476 | lengthy | adj. | 长的，漫长的 |
| 477 | embarrassed | adj. | 尴尬的；窘迫的 |
| 478 | rational | adj. | 理性的， 理智的； 合理的 |
| 479 | distant | adj. | 在远处的；疏远的 |
| 480 | homemaker | n. | 主妇 |
| 481 | exception | n. | 例外， 除外 |
| 482 | sustainable | adj. | 可持续的 |
| 483 | trigger | v. | 引发，引起 |
| 484 | intend | vt. | 想要， 打算； 意思是； 打算使 |
| 485 | spread | v. | 扩散；传播 |
| 486 | estimate | vt. | 估计； 评价 n. 估计； 评价， 看法 |
| 487 | technique | n. | 技巧，手艺；技术，技能 |
| 488 | include | vt. | 包括， 包含 |
| 489 | academic | adj. | 学院的； 学术的； 纯理论的， 不切实际的 |
| 490 | distinctive | adj. | 独特的，与众不同的 |
| 491 | consist | vi. | 由…组成； 在于； 一致 |
| 492 | bid | n. | 企图，努力；喊价，出价，投标 vt. 喊价， 投标， 出； 祝， 表示； 命令 |
| 493 | benefit | v. | 有益于； 得益 n. 利益，恩惠；救济金，保险金，津贴 |
| 494 | downsize | v. | 裁员 |
| 495 | avoid | vt. | 避免， 躲开； 撤销 |
| 496 | gender | n. | 性别 |
| 497 | interracial | adj. | 种族间的 |
| 498 | complaint | n. | 抱怨， 怨言； 控告 |
| 499 | pattern | n. | 型，式样，模型 vt. 仿制， 使照…样子 |
| 500 | mood | n. | 心情， 情绪； 语气 |
| 501 | sympathy | n. | 同情； 一致， 支持， 赞同 |
| 502 | discount | n. | 折扣 vt. 将…打折扣； 不信； 漠视， 低估 |
| 503 | value | n. | 价值；价格 v. 评价 |
| 504 | altitude | n. | 海拔， 高度； 高处 |
| 505 | groundsheet | n. | 防潮布 |
| 506 | evolutionary | adj. | 进化的；演变的 |
| 507 | implement | n. | 工具， 器具， 用具 vt. 使生效， 履行， 实施 |
| 508 | dominant | adj. | 占优势的， 支配的， 统治的； 居高临下的， 高耸的 |
| 509 | scope | n. | 范围； 余地， 机会 |
| 510 | suspect | adj. | 可疑的， 不信任的 vt. 疑有；推测；对…表示怀疑 n. 嫌疑犯，可疑分子 |
| 511 | confrontation | n. | 冲突，对抗 |
| 512 | puzzle | v. | 迷惑，为难；苦思 n. 智力测验； 谜， 难题， 令人费解的事； 困惑， 迷惑 |
| 513 | critic | n. | 批评家， 爱挑剔的人 |
| 514 | apartment | n. | 一套公寓房间 |
| 515 | analyze | v. | 分析 |
| 516 | maintain | vt. | 维持； 维修， 保养； 主张； 赡养 |
| 517 | curb | v. | 控制 n. 控制 |
| 518 | version | n. | 译本； 说法； 改写本 |
| 519 | rival | adj. | 竞争的，对抗的 n. 竞争对手，敌手；可与匹敌的人 vt. 与 …竞争； 与…匹敌， 比得上 |
| 520 | beneficial | adj. | 有利的， 有益的 |
| 521 | substantial | adj. | 可观的， 大量的； 结实的， 坚固的； 实质的， 真实的 |
| 522 | recover | v. | 重新获得， 挽回； 恢复 |
| 523 | diploma | n. | 文凭 |
| 524 | carpenter | n. | 木工， 木匠 |
| 525 | circumstance | n. | 情况， 条件； 境遇， 境况； 经济情况 |
| 526 | canteen | n. | 小卖部；临时餐室 |
| 527 | advocator | n. | 主张者，倡导者 |
| 528 | disorderly | adj. | 杂乱的 |
| 529 | essentially | adv. | 本质上，根本上 |
| 530 | prevent | v. | 预防，防止；阻止 |
| 531 | ceremony | n. | 典礼， 仪式， 礼节 |
| 532 | assume | vt. | 假定， 假设， 臆断； 承担， 担任； 呈现 |
| 533 | demand | n. | 需求，要求 v. 要求 |
| 534 | principle | n. | 原则， 原理， 道义； 基本信念， 信条 |
| 535 | reception | n. | 招待会， 欢迎会； 接受； 接待； 接收效果 |
| 536 | transfer | v. | 搬， 转移； 调动， 转学； 转让， 过户； 乘车， 转乘 |
| 537 | preventable | adj. | 可预防的 |
| 538 | anticipate | vt. | 预料， 预期， 期望； 先于…行动； 提前使用 |
| 539 | assumption | n. | 假定， 臆断； 担任， 承担 |
| 540 | prescription | n. | 处方 |
| 541 | evolution | n. | 进化， 演化， 发展 |
| 542 | annoy | v. | 使恼怒；打搅；打扰 |
| 543 | unintended | adj. | 意想不到的 |
| 544 | origin | n. | 起源， 起因； 出身， 血统 |
| 545 | qualify | v. | 胜任， 具有资格， 合格； 限定 |
| 546 | emergence | n. | 出现，发生 |
| 547 | complain | vi. | 抱怨， 诉苦； 控告， 投诉 |
| 548 | merit | n. | 长处，优点，价值；功劳，成绩 vt. 值得， 应受 |
| 549 | forum | n. | 论坛 |
| 550 | arrange | v. | 安排， 准备， 整理 |
| 551 | determination | n. | 决心， 决定； 确定 |
| 552 | bargain | vi. | 讨价还价 n. 特价商品；协议，交易 |
| 553 | appetite | n. | 食欲， 胃口； 欲望 |
| 554 | neutral | adj. | 中立的； 中性的 |
| 555 | primitive | adj. | 原始的，早期的；简单的；粗糙的 n. 原人； 原始事物 |
| 556 | therapy | n. | 治疗， 理疗 |
| 557 | conscience | n. | 良心， 道德心 |
| 558 | define | vt. | 给…下定义， 限定 |
| 559 | creativity | n. | 创造力 |
| 560 | tailor | n. | 裁缝 v. 专门制作；订做 |
| 561 | dramatically | adv. | 戏剧性地，引人注目地 |
| 562 | panic | v. | 恐慌， 惊慌失措 n. 恐慌，惊慌，慌乱 |
| 563 | motivation | n. | 激励，刺激 |
| 564 | durable | adj. | 耐久的， 耐用的 |
| 565 | remedy | n. | 补救办法，纠正办法；药品；治疗法 vt. 补救， 纠正； 医治， 治疗 |
| 566 | inevitable | adj. | 不可避免的， 必然的 |
| 567 | diverse | adj. | 不一样的， 相异的； 多种多样的 |
| 568 | context | n. | 背景，环境 |
| 569 | prominent | adj. | 突出的， 杰出的； 突起的， 凸出的 |
| 570 | witness | n. | 证据；目击者，证人 vt. 目击； 为…作证， 证明 |
| 571 | save | v. | 节省 |
| 572 | inherit | vi. | 成为继承人 vt. 继承 |
| 573 | occasion | n. | 场合，时刻；重大活动；时机；起因 vt. 引起 |
| 574 | initiative | n. | 主动性； 首创精神； 主动的行动， 倡议； 主动权 |
| 575 | insight | n. | 洞察力； 洞悉； 深刻见解 |
| 576 | misguided | adj. | 被误导的 |
| 577 | sponsor | n. | 发起者 vt. 发起； 资助， 赞助； 支持 |
| 578 | porter | n. | 搬运工人； 看门人， 大楼管理员 |
| 579 | loyalty | n. | 忠诚， 忠心 |
| 580 | overwhelming | adj. | 压倒性的 |
| 581 | appreciation | n. | 感激 |
| 582 | setting | n. | 环境， 背景， 布景； 调节， 设定的位置 |
| 583 | display | vt. | 陈列， 展览， 显示 |
| 584 | deliver | v. | 投递，送交；发表 |
| 585 | astonish | v. | 使惊讶，使大为吃惊 |
| 586 | adequate | adj. | 足够的； 可以胜任的 |
| 587 | consumption | n. | 消耗量；消耗 |
| 588 | abuse | vt. | 滥用； 虐待， 伤害； 辱骂， 毁谤 n. 滥用； 虐待， 伤害； 辱骂， 毁谤 |
| 589 | broad | adj. | 宽的，阔的；广泛的 |
| 590 | inappropriate | adj. | 不合适的 |
| 591 | worldwide | adv. | 全世界范围地 |
| 592 | strict | adj. | 严格的 |
| 593 | means | n. | 方法， 手段， 工具； 金钱， 财产 |
| 594 | reveal | vt. | 揭露， 泄露； 展现， 显示 |
| 595 | confirm | vt. | 证实， 肯定； 确认； 批准 |
| 596 | consensus | n. | 一致意见 |
| 597 | agent | n. | 代理人， 代理商； 政府代表； 动因， 原因； 剂 |
| 598 | neighborhood | n. | 地区 |
| 599 | participate | vi. | 参与， 参加； 分享 |
| 600 | valid | adj. | 有效的； 正当的； 有根据的， 有理的 |
| 601 | initially | adv. | 最初，起初 |
| 602 | slightly | adv. | 轻微地 |
| 603 | objection | n. | 反对， 异议； 反对的理由 |
| 604 | atmosphere | n. | 大气， 空气； 气氛， 环境 |
| 605 | assign | vt. | 指派， 分配， 布置； 指定 |
| 606 | evidence | n. | 根据， 证据； 证人 |
| 607 | racially | adv. | 种族上地 |
| 608 | exclude | vt. | 把…排除在外 |
| 609 | available | adj. | 现成可使用的， 通用的； 可取的； 联系的； 可得到的 |
| 610 | puzzling | adj. | 令人困惑的 |
| 611 | evaluation | n. | 评价； 估计 |
| 612 | irritate | v. | 激怒 |
| 613 | distinguished | adj. | 显著的，杰出的 |
| 614 | depressing | adj. | 令人沮丧的 |
| 615 | mutually | adv. | 互相地 |
| 616 | mission | n. | 使命， 任务； 使团 |
| 617 | migration | n. | 迁移，移民 |
| 618 | site | n. | 地点，场所 vt. 使坐落在； 设置 |
| 619 | expectation | n. | 期待， 期望， 预期； 前程， 成功的前景 |
| 620 | update | v. | 更新；使现代化 |
| 621 | gear | n. | 齿轮，传动装置，排挡；用具，设备；衣服 vt. 使适应， 使适合 |
| 622 | reproductive | adj. | 生殖的，再生的 |
| 623 | incredible | adj. | 不能相信的， 不可信的； 难以置信的， 不可思议的； 惊人的 |
| 624 | backward | adv. | [-]倒； 向后， 往回 adj. 向后的，倒的；落后的，进步慢的 |
| 625 | raise | v. | 提高；筹款；抚养 |
| 626 | prohibit | v. | 禁止，阻止，防止 |
| 627 | bother | v. | 烦扰，迷惑 n. 麻烦 |
| 628 | pose | vi. | 摆姿势；假装，装腔作势 vt. 使摆好姿势；造成，引起；提出，陈述 n. 样子， 姿势 |
| 629 | instrument | n. | 仪器， 工具； 乐器 |
| 630 | mask | n. | 面具，面罩，口罩；伪装 vt. 遮盖， 掩饰 |
| 631 | essential | adj. | 必要的；本质的 n. 要素； 必需品 |
| 632 | harvest | n. | 收获；收成 v. 收割 |
| 633 | reject | vt. | 拒绝； 拒纳， 退回 n. 次品 |
| 634 | advancement | n. | 进步，提升 |
| 635 | skyrocket | v. | 突升，猛涨 |
| 636 | characteristic | adj. | 特有的，典型的 n. 特性 |
| 637 | implication | n. | 含意， 暗示， 暗指； 卷入， 牵连 |
| 638 | measure | vt. | 测量，度量；衡量 n. 分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法 |
| 639 | replacement | n. | 代替， 取代； 更换， 调换； 替代的人 |
| 640 | easygoing | adj. | 脾气随和的，温和的 |
| 641 | squeeze | v. | 挤；压榨，榨取；捏，握 n. 挤； 握手； 拮据， 紧缺 |
| 642 | exhibition | n. | 展览会；展览，陈列 |
| 643 | responsibility | n. | 责任， 责任心； 职责， 义务 |
| 644 | enhance | vt. | 提高， 增加， 加强 |
| 645 | retain | v. | 保持，保留，保有 |
| 646 | convey | vt. | 表达， 传递； 运送， 输送 |
| 647 | regulation | n. | 规章， 规则； 管理， 控制； 调节 |
| 648 | integrity | n. | 完整 |
| 649 | combine | v. | 结合， 联合； 化合 n. 联合企业； 联合收割机 |
| 650 | impermanency | n. | 非永久性 |
| 651 | catalogue | n. | 目录 v. 为…编目录，把…列入目录中 |
| 652 | council | n. | 理事会， 委员会 |
| 653 | prepare | v. | 准备，预备 |
| 654 | inquiry | n. | 询问， 打听； 调查 |
| 655 | tension | n. | 紧张， 不安； 拉紧； 张力， 拉力 |
| 656 | prompt | adj. | 敏捷的，及时的 vt. 促使，推动；提示 n. 提示台词， 提示 |
| 657 | attendance | n. | 出席人数 |
| 658 | retail | n. | 零售 v. 零售 |
| 659 | image | n. | 像； 形象； 映像； 形象的描述 |
| 660 | quantity | n. | 量，数量，分量 |
| 661 | inspector | n. | 检查员 |
| 662 | endurance | n. | 耐力 |
| 663 | simplify | vt. | 简化， 使简明 |
| 664 | range | v. | 变动； 漫游， 四处搜索； 使排列成行 n. 一系列；范围；射程，距离；脉；射击场 |
| 665 | accomplish | v. | 达到（目的）；完成 |
| 666 | treatment | n. | 待遇； 治疗， 疗法； 对待， 处理 |
| 667 | spare | v. | 抽出；拨出；留出；匀出 adj. 多余的 |
| 668 | welfare | n. | 幸福； 福利， 福利救济 |
| 669 | boost | vt. | 提高，使增长；推动，激励；替…做广告，宣扬 n. 提高， 增长； 推动， 激励 |
| 670 | consciousness | n. | 意识，觉悟；知觉 |
| 671 | patiently | adv. | 耐心地 |
| 672 | decent | adj. | 像样的， 过得去的， 体面的； 宽厚的， 大方的； 正派的； 合乎礼仪的， 得体的 |
| 673 | review | v. | 再检查 n. 复习 |
| 674 | considerable | adj. | 相当大的； 重要的 |
| 675 | misguide | v. | 误导 |
| 676 | foundation | n. | 地基；基础；；基金会 |
| 677 | postgraduate | n. | 研究生 |
| 678 | prevail | v. | 流行；胜，优胜 |
| 679 | solid | adj. | 固体的 n. 固体 |
| 680 | counsel | n. | 律师，法律顾问；忠告，劝告 vt. 劝告， 提议 |
| 681 | maximum | adj. | 最大的， 最高的， 顶点的 n. 最大量，顶点 |
| 682 | abstract | adj. | 抽象的，抽象派的 n. 摘要， 梗概； 抽象派艺术作品 vt. 做…的摘要； 提取 |
| 683 | realistic | adj. | 现实的； 实际可行的； 现实主义的； 逼真的 |
| 684 | ban | vt. | 取缔，查禁；禁止 n. 禁止， 禁令 |
| 685 | ashamed | adj. | 惭愧的， 羞耻的， 害臊的 |
| 686 | solve | vt. | 解答； 解释； 解决 |
| 687 | reinforce | vt. | 增强， 加强， 增援 |
| 688 | applicant | n. | 申请人 |
| 689 | tuition | n. | 学费 |
| 690 | persistence | n. | 坚持不懈 |
| 691 | overcome | vt. | 战胜， 克服； 压倒， 使受不了 |
| 692 | bride | n. | 新娘 |
| 693 | engagement | n. | 婚约 |
| 694 | household | adj. | 家庭的； 家喻户晓的 n. 家庭，户；家务 |
| 695 | evaluate | vt. | 评价； 估…的价 |
| 696 | saint | n. | 圣徒； 圣人， 道德高尚的人； [用于人名或地名等前]圣 |
| 697 | delay | v. | 耽搁；延误；推迟 |
| 698 | private | adj. | 私人的；秘密的；私下的；私营的 n. 士兵， 列兵 |
| 699 | definition | n. | 定义， 释义， 定界； 清晰， 鲜明 |
| 700 | influential | adj. | 有影响的； 有权势的 |
| 701 | recommend | vt. | 推荐， 举荐； 劝告， 建议； 使成为可取； 使受欢迎 |
| 702 | frontier | n. | 边境， 边疆； 新领域 |
| 703 | concern | n. | 关切的事，有关的事；关心，挂念；关系，关联；公司，企业 vt. 涉及， 有关； 使关心， 使担心 |
| 704 | organ | n. | 器官； 机构； 管风琴； 新闻媒介 |
| 705 | cite | vt. | 引用， 引证； 传唤， 传讯； 表彰， 嘉奖 |
| 706 | mechanism | n. | 机械装置； 机制， 机理； 办法， 途径 |
